x,y
1.916469999999999985e+01,6.445570000000000466e-01
1.801889999999999858e+01,6.410590000000000455e-01
1.695499999999999829e+01,6.375549999999999828e-01
1.576829999999999998e+01,6.340590000000000392e-01
1.470439999999999969e+01,6.341350000000000042e-01
1.362689999999999912e+01,6.318249999999999700e-01
1.260399999999999920e+01,6.318989999999999885e-01
1.143089999999999939e+01,6.272090000000000165e-01
1.029870000000000019e+01,6.225159999999999583e-01
9.234650000000000247e+00,6.178179999999999783e-01
8.184400000000000119e+00,6.161029999999999562e-01
7.897890000000000299e+00,6.137359999999999483e-01
7.624979999999999869e+00,6.101750000000000229e-01
7.365709999999999980e+00,6.066129999999999578e-01
7.011059999999999626e+00,6.054450000000000109e-01
6.710939999999999905e+00,6.036759999999999904e-01
6.465480000000000338e+00,6.048869999999999525e-01
6.274359999999999715e+00,6.001269999999999660e-01
6.165429999999999744e+00,6.049090000000000300e-01
6.055690000000000239e+00,5.882070000000000354e-01
5.919039999999999857e+00,5.810560000000000169e-01
5.782469999999999999e+00,5.762920000000000265e-01
5.536609999999999587e+00,5.667609999999999593e-01
4.854250000000000398e+00,5.554719999999999658e-01
4.294679999999999609e+00,5.453670000000000462e-01
3.748880000000000212e+00,5.388420000000000432e-01
3.162059999999999871e+00,5.293360000000000287e-01
2.588820000000000121e+00,5.186349999999999572e-01
1.933710000000000040e+00,5.067469999999999475e-01
1.524259999999999948e+00,4.990180000000000171e-01
1.142109999999999959e+00,4.918850000000000167e-01
7.190349999999999797e-01,4.847540000000000182e-01
3.777079999999999882e-01,4.752299999999999858e-01
2.269710000000000130e-02,4.645139999999999825e-01
-2.231809999999999905e-01,4.543869999999999854e-01
-5.372310000000000141e-01,4.448610000000000064e-01
-8.784910000000000219e-01,4.371280000000000165e-01
-1.274839999999999973e+00,4.150760000000000005e-01
-1.452660000000000062e+00,4.013630000000000253e-01
-1.575830000000000064e+00,3.900339999999999918e-01
-1.617169999999999996e+00,3.786979999999999791e-01
