,Year,Month,Milk.Prod
0,1995,Jan,2.112
1,1995,Feb,1.932
2,1995,Mar,2.162
3,1995,Apr,2.13
4,1995,May,2.227
5,1995,Jun,2.124
6,1995,Jul,2.184
7,1995,Aug,2.152
8,1995,Sep,2.062
9,1995,Oct,2.121
10,1995,Nov,2.03
11,1995,Dec,2.091
12,1996,Jan,2.109
13,1996,Feb,1.996
14,1996,Mar,2.173
15,1996,Apr,2.163
16,1996,May,2.233
17,1996,Jun,2.142
18,1996,Jul,2.182
19,1996,Aug,2.129
20,1996,Sep,2.138
21,1996,Oct,2.215
22,1996,Nov,2.156
23,1996,Dec,2.212
24,1997,Jan,2.177
25,1997,Feb,2.028
26,1997,Mar,2.361
27,1997,Apr,2.358
28,1997,May,2.417
29,1997,Jun,2.314
30,1997,Jul,2.386
31,1997,Aug,2.366
32,1997,Sep,2.258
33,1997,Oct,2.351
34,1997,Nov,2.263
35,1997,Dec,2.303
36,1998,Jan,2.341
37,1998,Feb,2.081
38,1998,Mar,2.344
39,1998,Apr,2.314
40,1998,May,2.432
41,1998,Jun,2.317
42,1998,Jul,2.309
43,1998,Aug,2.271
44,1998,Sep,2.185
45,1998,Oct,2.363
46,1998,Nov,2.283
47,1998,Dec,2.38
48,1999,Jan,2.439
49,1999,Feb,2.245
50,1999,Mar,2.605
51,1999,Apr,2.575
52,1999,May,2.659
53,1999,Jun,2.503
54,1999,Jul,2.51
55,1999,Aug,2.602
56,1999,Sep,2.517
57,1999,Oct,2.605
58,1999,Nov,2.542
59,1999,Dec,2.642
60,2000,Jan,2.71
61,2000,Feb,2.558
62,2000,Mar,2.741
63,2000,Apr,2.733
64,2000,May,2.797
65,2000,Jun,2.673
66,2000,Jul,2.783
67,2000,Aug,2.68
68,2000,Sep,2.597
69,2000,Oct,2.684
70,2000,Nov,2.586
71,2000,Dec,2.703
72,2001,Jan,2.751
73,2001,Feb,2.529
74,2001,Mar,2.81
75,2001,Apr,2.788
76,2001,May,2.885
77,2001,Jun,2.783
78,2001,Jul,2.816
79,2001,Aug,2.817
80,2001,Sep,2.707
81,2001,Oct,2.804
82,2001,Nov,2.718
83,2001,Dec,2.809
84,2002,Jan,2.85
85,2002,Feb,2.646
86,2002,Mar,2.997
87,2002,Apr,2.948
88,2002,May,3.087
89,2002,Jun,2.979
90,2002,Jul,2.998
91,2002,Aug,3.006
92,2002,Sep,2.834
93,2002,Oct,2.945
94,2002,Nov,2.824
95,2002,Dec,2.951
96,2003,Jan,2.993
97,2003,Feb,2.774
98,2003,Mar,3.11
99,2003,Apr,3.033
100,2003,May,3.092
101,2003,Jun,2.972
102,2003,Jul,2.966
103,2003,Aug,2.971
104,2003,Sep,2.831
105,2003,Oct,2.921
106,2003,Nov,2.821
107,2003,Dec,2.953
108,2004,Jan,2.994
109,2004,Feb,2.858
110,2004,Mar,3.104
111,2004,Apr,3.072
112,2004,May,3.148
113,2004,Jun,3.026
114,2004,Jul,3.078
115,2004,Aug,3.076
116,2004,Sep,2.979
117,2004,Oct,3.08
118,2004,Nov,2.96
119,2004,Dec,3.09
120,2005,Jan,3.078
121,2005,Feb,2.848
122,2005,Mar,3.226
123,2005,Apr,3.188
124,2005,May,3.292
125,2005,Jun,3.182
126,2005,Jul,3.126
127,2005,Aug,3.157
128,2005,Sep,3.084
129,2005,Oct,3.151
130,2005,Nov,3.053
131,2005,Dec,3.179
132,2006,Jan,3.241
133,2006,Feb,3.042
134,2006,Mar,3.428
135,2006,Apr,3.309
136,2006,May,3.383
137,2006,Jun,3.206
138,2006,Jul,3.122
139,2006,Aug,3.292
140,2006,Sep,3.147
141,2006,Oct,3.227
142,2006,Nov,3.136
143,2006,Dec,3.297
144,2007,Jan,3.369
145,2007,Feb,3.15
146,2007,Mar,3.553
147,2007,Apr,3.449
148,2007,May,3.477
149,2007,Jun,3.341
150,2007,Jul,3.45
151,2007,Aug,3.456
152,2007,Sep,3.252
153,2007,Oct,3.415
154,2007,Nov,3.312
155,2007,Dec,3.459
156,2008,Jan,3.492
157,2008,Feb,3.33
158,2008,Mar,3.638
159,2008,Apr,3.515
160,2008,May,3.583
161,2008,Jun,3.417
162,2008,Jul,3.417
163,2008,Aug,3.397
164,2008,Sep,3.275
165,2008,Oct,3.386
166,2008,Nov,3.312
167,2008,Dec,3.441
168,2009,Jan,3.453
169,2009,Feb,3.139
170,2009,Mar,3.505
171,2009,Apr,3.433
172,2009,May,3.512
173,2009,Jun,3.283
174,2009,Jul,3.249
175,2009,Aug,3.243
176,2009,Sep,3.069
177,2009,Oct,3.207
178,2009,Nov,3.133
179,2009,Dec,3.286
180,2010,Jan,3.37
181,2010,Feb,3.089
182,2010,Mar,3.481
183,2010,Apr,3.431
184,2010,May,3.545
185,2010,Jun,3.394
186,2010,Jul,3.401
187,2010,Aug,3.401
188,2010,Sep,3.294
189,2010,Oct,3.346
190,2010,Nov,3.266
191,2010,Dec,3.367
192,2011,Jan,3.39
193,2011,Feb,3.161
194,2011,Mar,3.59
195,2011,Apr,3.519
196,2011,May,3.675
197,2011,Jun,3.511
198,2011,Jul,3.535
199,2011,Aug,3.502
200,2011,Sep,3.312
201,2011,Oct,3.428
202,2011,Nov,3.343
203,2011,Dec,3.496
204,2012,Jan,3.617
205,2012,Feb,3.506
206,2012,Mar,3.804
207,2012,Apr,3.632
208,2012,May,3.744
209,2012,Jun,3.523
210,2012,Jul,3.498
211,2012,Aug,3.304
212,2012,Sep,3.184
213,2012,Oct,3.307
214,2012,Nov,3.264
215,2012,Dec,3.418
216,2013,Jan,3.462
217,2013,Feb,3.231
218,2013,Mar,3.676
219,2013,Apr,3.622
220,2013,May,3.72
221,2013,Jun,3.489
222,2013,Jul,3.373
223,2013,Aug,3.4
224,2013,Sep,3.197
225,2013,Oct,3.338
226,2013,Nov,3.275
227,2013,Dec,3.473
